Title,Author,Genre,Height,Publisher
Fundamentals of Wavelets,"Goswami,Jaideva",signal_processing,228,Wiley
Data Smart,"Foreman,John",data_science,235,Wiley
God Created the Integers,"Hawking,Stephen",mathematics,197,Penguin
Superfreakonomics,"Dubner,Stephen",economics,179,HarperCollins
Orientalism,"Said,Edward",history,197,Penguin
Nature of Statistical,"Vapnik,Vladimir",data_science,230,Springer
